PID;sigla;Version;Variant;title;notbefore;notafter
mlm-4-989;M7;;; München, Ludwig-Maximilians-Universität, Universitätsbibliothek, 4° Cod. ms. 989;1300.0;1399.0
mlm-2-88;M9;;; München, Ludwig-Maximilians-Universität, Universitätsbibliothek, 2° Cod. ms. 88;1413.0;1413.0
mbt-triv-489;Mi;;; Milano, Biblioteca Trivulziana, Triv. 489;1227.0;1227.0
mbn-ad-xii-53;Mi1;;; Milano, Biblioteca nazionale Braidense, Manoscritti, AD XII.53;1400.0;1499.0
mbn-ae-xii-20;Mi2;;; Milano, Biblioteca nazionale Braidense, Manoscritti, AE XI.20;1200.0;1299.0
mvb-sp-ii-199;Mi3;;; Milano, Veneranda Biblioteca Ambrosiana, S.P.II.199;1400.0;1499.0
mbs-1708;Mk;;; Melk, Benediktinerstift, Cod. 1708 (929, R 14);1350.0;1399.0
mbm-89;Ms;;; Marseille, Bibliothèque Municipale, Ms. 89 (Fa 21);1300.0;1499.0
nbl-1183;Nh2;;; New Haven, Yale University, Beinecke Rare Book and Manuscript Library, Beinecke MS 1183;1300.0;1350.0
npm-m-751;Ny4;;; New York, Pierpont Morgan Library, M.751;1300.0;1310.0
obl-bar-53-r;O11;;; Oxford, Bodleian Library, MS Barlow 53 (R);1420.0;1430.0
obl-fair-13;O5;;; Oxford, Bodleian Library, MS Fairfax 13;1225.0;1274.0
obl-raw-c-563;O9;;; Oxford, Bodleian Library, MS Rawl. C. 563;1290.0;1309.0
oko-o-53;Ot;;; Ottobeuren, Kloster Ottobeuren, Ms. O. 53;1450.0;1499.0
pbn-lat-14435;P;;; Paris, Bibliothèque nationale de France, Lat. 14435;1200.0;1299.0
pbn-naf-11198;P16;;; Paris, Bibliothèque nationale de France, NAF 11198;1200.0;1299.0
pbm-305;P3;;; Paris, Bibliothèque Mazarine, Ms. 305;1200.0;1299.0
pbn-lat-10431;P5;;; Paris, Bibliothèque nationale de France, Lat. 10431;1235.0;1246.0
