tcain_won363,cain ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,,,postquam ,,a ,domino ,est ,maledictus
tcain_lbm445,,cayn ,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,,,postquam ,,a ,domino ,est ,maledictus
tcain_fsuincquart706a,,cayn ,,agricola ,dolens ,,sua ,munera ,et ,non ,,,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem  ,,,,septiformi ,peccato ,interfecit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tcain_pbnlat14435,chaim ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,,,postquam ,,a ,domino ,est ,maledictus
tcain_mbsclm8201,cain ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,qui ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,est ,,postquam ,,a ,domino ,est ,maledictus
tcain_eufdeperfca2108,chain ,,,agricola ,dolens ,,sua ,munera ,et ,non ,ffatris ,,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,,,,postquam ,,a ,domino ,est ,maledictus
tcain_lbladd606281,caym ,,,agricola ,dolens ,munera ,sua ,,et ,non ,,fratris ,,reprobata ,fuisse ,a ,domino ,,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,qui ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,est ,postquam ,a ,domino ,est ,maledictus ,accepit urorem ,f ,fororem ,suam ,calmana,,,,,,,,,,,,,,,
tcain_vbavatlat3782,caym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,munera ,fratris ,siu abel ,,fuisse ,a ,domino ,reprobata ,licet ,ceteris ,a ,domino ,increpatusmchilomiu tu ,,,fratrem ,,suum ,abel ,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terramfactus ,,,postquam ,a ,domino ,est ,maledictus ,itcm caym septuplus punitus ,est ,qua septem pecca omisit i nec recte duusit miudit dolose egit occidit petatitur ,negauit despauit ,non ,primam ,egit ,itcm ioseph di pro caym simpltitate uite  ad niesu ras malitias et ponderum perinutauit diuitate muraiut et quibus ledebat timeo ob securitate suos in urbib collegit ciuitate edisicauit et ,nomine filii ,siu  enoc imposuit duc caym genuit adam xb anno etatis sue itcm caym primus pon dera et mess muenit termindo terre posuit et urbeo murauit ,postea ,lates inter fructeta ,et ,a ,lamech filio matu sael occilus ,,,,est ,benefis iiiibcaploitcm tota pgemeo caym perut in disu iuo s ixxbn aic lp magi hysteriax
tcain_khaw247,caym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,pecatto ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,,,postquam ,,a ,domino ,est ,maledictus
tcain_vbavatlat3783,chaym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccatointerfecit ,,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,,,postquam ,,a ,domino ,est ,maledictus
tcain_lubapel1,,cayn ,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,quam ,non recte ,diuiste ,,,dolo ,uocauit ocudit ,,,,,,,,,,,,,,negauit despauit ,,,,,,,postea ,factus ,,instabilis ,super terram ,,a ,domino ,est ,maledictus
tcain_mbsclm28173,cham ,,,agricola ,,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,et ,postquam ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,,,postquam ,adito ,,,est ,maledictus
tcain_won378,cain ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,,,postquam ,,a ,domino ,est ,maledictus
tcain_pbnlat15254,chaym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,qui ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,est ,,postquam ,,a ,domino ,est ,maledictus
tcain_abs128,,chayn ,,agricola ,dolens ,,sua ,munera ,et ,no ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,qui ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,positus ,,,,,,,,,,,,,,,,,,,est ,,postquam ,,a ,domino ,est ,maledictus
tcain_aux145,cahim ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,,,postquam ,,a ,domino ,est ,maledictus
tcain_pnkiiie5,,cayn ,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,sui ,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,suu ,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,,,postquam ,,a ,domino ,est ,maledictus
tcain_whaguelf360helm,caim ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,qui ,,,,a ,domino ,est ,maledictus
tcain_ctcb154,chaym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,,,postquam ,,a ,domino ,est ,maledictus
tcain_ctcb155,chaim ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,,,postquam ,,a ,domino ,,maledictus
tcain_won1548,chaim ,,,,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea  ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,est ,postquam ,a ,domino ,,maledictus ,,,,,,,,,,,,,,,,,,,est,
tcain_mrmmik6365,chaym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,esse  ,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,factus ,est ,super ,terram ,,,,,,,,,,,,,,,,,,,,,,postquam ,,a ,domino ,est ,maledictus
tcain_pfllewe202,cain ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,abel ,septiformi ,peccato ,interfecit ,qui ,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,postquam ,a ,domino ,est ,maledictus ,iste cain permam auitatem constenyit quam ex ,,,,,,,,nomine filii ,sui enoch innicupauit,,,,,,,,,,
tcain_mbm89,caym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,ee ,,,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,et ,suum ,,septiformi ,peccato ,interficit c ,,postea ,uagus ,,et ,instabilis ,,,,,poitus ,,,,,,,,,,,,,,,,,,,est ,,postquam ,,a ,domino ,,maledictus
tcain_pbnlat5101,chaim ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,,,postquam ,,a ,domino ,est ,maledictus
tcain_mbelat693,,chayn ,,agricola ,dolens ,munera ,sua ,,et ,non ,,fratris ,fuisse ,reprobata ,,a ,domino ,,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,qui ,postea ,uagui ,,et ,instabilis ,,,super ,terram ,factus ,,,,,,,,est ,,,,,,,,,postea ,,,,,,a ,domino ,est ,maledictus
tcain_CCC83,chaym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,factus ,,postquam ,a ,domino ,est ,maledictus ,signo tamen ,,,,,,s ,tremore ,capitis ,ei prius ,,,,imposito ,ut sic saretur punitus ,,a ,domino ,et excommunicatus et etiam indignus misericordia nec interficeretur,
tcain_bwaw796,caym ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,,,postquam ,,a ,domino ,est ,maledictus
tcain_whafol70,chain ,,,agricola ,dolens ,,sua ,munera ,et ,non ,,fratris ,,,fuisse ,,,reprobata ,licet ,,a ,domino ,,increpatus ,,fratrem ,,,,septiformi ,peccato ,interfecit ,,postea ,uagus ,,et ,instabilis ,,,super ,terram ,,,,,,,,,,,,,,,,,,,factus ,,,postquam ,,a ,domino ,est ,maledictus
tcain_gflchaa16,,cayn ,,agricola ,dolens ,munera ,sua ,,,non ,,fratris ,fuisse ,reprobata ,,a ,domino ,,licet ,,a ,domino ,,increpatus ,,fratrem ,,suum ,,septiformi ,peccato ,interfecit ,maledictus ,,uagus ,,,,,,,,factus ,,,,,,,,est  ,guaionem septi lamet bigamia introducit dnuiss alus lineam christi de iuranis ,,,,,,,,,,,,post ,sem quia de   fuerit quentiles,,,,
